cpt_cleaned,cpt_cleaned_standard,test_type,test_classification
CAROTID DOPPLER STUDY,Carotid Doppler Study,Uncategorized,02 PCC+
CT SCAN-UPPER/LOWER ABDOMEN PLAIN,CT Scan - Upper/Lower Abdomen Plain,Imaging,03 Hospital Only
CT SONOGRAM,Ct Sonogram,Uncategorized,02 PCC+
RANDOM URINE ALBUMIN,Urine Microalbumin,Laboratory,01 Clinic+
IGM IMMUNOGLOBULINS,Igm Immunoglobulins,Laboratory,01 Clinic+
HBA1C (GLYCOSYLATED HEMOGLOBIN)-STAT,HbA1c,Laboratory,01 Clinic+
EXUDATES (SWAB) CULTURE & SENSITIVITY~MBCS,Exudates (Swab) Culture & Sensitivity,Laboratory,01 Clinic+
RHEUMATOID FACTOR IGM (RF),Rheumatoid Factor Igm (Rf,Laboratory,01 Clinic+
BEDSIDE EEG (1 HOUR),Bedside Eeg (1 Hour,Uncategorized,02 PCC+
PULMONARY FUNCTION TEST WITH POST BRONCHODILATOR,Pulmonary Function Test Post Bronchodilator,Laboratory,01 Clinic+
VIMENTIN (NKTI),Vimentin (Nkti,Uncategorized,02 PCC+
ARC TROPONIN I,Troponin,Uncategorized,02 PCC+
BLOOD CHEMISTRY PACKAGE 10,Blood Chemistry Package 10,Laboratory,01 Clinic+
DIALYSIS PANEL A,Dialysis Panel A,Laboratory,01 Clinic+
RNS (REPETITIVE NERVE STIMULATION TEST),Rns (Repetitive Nerve Stimulation Test,Laboratory,01 Clinic+
TOTAL T3T4TSH,Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
ULTRASOUND-LGBP,Ultrasound - Lgbp,Imaging,02 PCC+
"HISTOPATH-BIOPSIES (ENDOSCOPIC, CORE NEEDLE, PUNCH, ETC)","Histopath-Biopsies (Endoscopic, Core Needle, Punch, Etc",Uncategorized,02 PCC+
PT/PTT,Pt/Ptt,Uncategorized,02 PCC+
"LIPID PROFILE (CHOLE,TRIGLY,HDL)",Lipid Profile,Laboratory,01 Clinic+
FLUORESCEIN ANGIOGRAPHY -FA~EYRE,Fluorescein Angiography -Fa,Uncategorized,02 PCC+
ROUTINE EEG 30 MINUTES (HMO),Eeg 30 Minutes (Hmo,Uncategorized,02 PCC+
IODINE 131 THERAPHY (5MCI)-S,Iodine 131 Theraphy (5Mci)-S,Uncategorized,02 PCC+
TSH CHEMI,Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
CONTRAST ONLY,Contrast Only,Laboratory,01 Clinic+
DENGUE IGG/IGM~ISRE,Dengue Test,Laboratory,01 Clinic+
SMOOTH MUSCLE ANTIBODY (SMA),Smooth Muscle Antibody (Sma,Laboratory,01 Clinic+
"ANTI-SSB, OR SS-B/LA (SEND OUT)","Anti-Ssb, Or Ss-B/La",Uncategorized,02 PCC+
CTA THORACOABDOMINAL - PF,Cta Thoracoabdominal - Pf,Uncategorized,02 PCC+
SPIROMETRY,Spirometry,Uncategorized,02 PCC+
ULTRASOUND-BREAST US/SONOMAMMOGRAM (LARGE),Ultrasound - Breast Us/Sonomammogram (Large),Imaging,02 PCC+
VIDEONYSTAGMOGRAPHY (VNG),Videonystagmography (Vng,Laboratory,01 Clinic+
H PYLORI AG (STOOL),H Pylori Ag (Stool,Laboratory,01 Clinic+
ANTI - BETA 2 GLYCOPROTEIN IGG AND IGM,Anti - Beta 2 Glycoprotein Igg And Igm,Laboratory,01 Clinic+
"CULTURE AND SENSITIVITY - PERITONEAL FLUID, ROUTINE","Culture And Sensitivity - Peritoneal Fluid,",Laboratory,01 Clinic+
PULMONARY FUNCTION TEST WITH BRONCHODILATOR,Pulmonary Function Test Bronchodilator,Laboratory,01 Clinic+
SCANOGRAM,Scanogram,Uncategorized,02 PCC+
FT4 CHEMI,Free T4 (FT4),Laboratory,01 Clinic+
ULTRASOUND-GENERAL ULTRASOUND - LOWER ABDOMEN,Ultrasound - Lower Abdomen,Imaging,02 PCC+
CT SCAN-WHOLE ABDOMEN & CHEST CONTRAST PACKAGE STAT PF,CT Scan - Whole Abdomen & Chest Contrast Package Stat Pf,Imaging,03 Hospital Only
DOG-1,Dog-1,Uncategorized,02 PCC+
HCV AG/ANTI-HCV,Hcv Ag/Anti-Hcv,Laboratory,01 Clinic+
SERUM CALCIUM,Calcium (Ca),Laboratory,01 Clinic+
XRAY-HIP AP BILATERAL,X-Ray - Hip Ap Bilateral,Imaging,02 PCC+
INSULIN FASTING,Insulin Fasting,Laboratory,01 Clinic+
XRAY-SKULL - NASAL BONE,X-Ray - Skull - Nasal Bone,Imaging,02 PCC+
AUDITORY BRAINSTEM (ABR) WITH AUDITORY STEADY-STATE RESPONSE (ASSR),Auditory Brainstem (Abr) Auditory Steady-E Response (Assr,Uncategorized,02 PCC+
(RPR) RAPID PLASMA REAGIN WITH DILUTION,Syphilis Test (VDRL/RPR),Laboratory,01 Clinic+
CT SCAN-TEMPORAL/MASTOIDS/PAROTID GLAND PLAIN,CT Scan - Temporal/Mastoids/Parotid Gland Plain,Imaging,03 Hospital Only
DEEP VEIN THROMBOSIS (DVT) SCAN LOWER EXTRIMITIES,Deep Vein Thrombosis (Dvt) Scan Lower Extrimities,Uncategorized,02 PCC+
DHEAS,Dheas,Uncategorized,02 PCC+
LIPOPROTEIN,Lipoprotein,Laboratory,01 Clinic+
TPO (THYROID PROXIDASE)AUTOANTIBODY TEST,Tpo (Thyroid Proxidase)Autoantibody Test,Laboratory,01 Clinic+
ULTRASOUND-ARTERIAL AND VENOUS DOPPLER STUDIES LOWER EXTREMITIES,Ultrasound - Arterial And Venous Doppler Studies Lower Extremities,Imaging,02 PCC+
XRAY-C-ARM (1ST 1 HR),X-Ray - C-Arm (1St 1 Hr),Imaging,02 PCC+
XRAY-SKELETAL SURVEY,X-Ray - Skeletal Survey,Imaging,02 PCC+
ANTI-STREPTOLYSIN O TITER,Anti-Streptolysin O Titer,Uncategorized,02 PCC+
INSULIN ASSAY ECLIA,Insulin Assay Eclia,Uncategorized,02 PCC+
ULTRASOUND- BREAST BILATERAL,Ultrasound - Breast Bilateral,Imaging,02 PCC+
ULTRASOUND - BREAST,Ultrasound - Breast,Imaging,02 PCC+
ANTI CENTROMERE (SLMC),Anti Centromere (Slmc,Uncategorized,02 PCC+
FECAL CALPROTECTIN (QUALITATIVE),Fecal Calprotectin (Qualitative,Uncategorized,02 PCC+
SODIUM (BODY FLUIDS),Sodium (Na),Laboratory,01 Clinic+
HEPATITIS B SURFACE ANTIGEN (HBSAG) SCREENING,HBsAg,Laboratory,01 Clinic+
GATRIC BIOPSY FOR H - PYLORI,Gatric Biopsy For H - Pylori,Uncategorized,03 Hospital Only
ACCENTURE-ULTRASOUND-TESTICLES/SCROTAL,Ultrasound - Testicles/Scrotal,Imaging,02 PCC+
OPTICAL COHERENCE TOMOGRAPHY GLAUCOMA/RNFL (BOTH E,Optical Coherence Tomography Glaucoma/Rnfl (Both E,Uncategorized,02 PCC+
SPIROMETER PFT,Spirometer Pft,Uncategorized,02 PCC+
LAB-CC-FBS (ARCHITECT),Fasting Blood Sugar (FBS),Uncategorized,02 PCC+
CULTURE AND SENSITIVITY-BLOOD (AEROBIC & ANAEROBIC),Culture And Sensitivity-Blood (Aerobic & Anaerobic,Laboratory,01 Clinic+
X-RAY-PELVIS AP/ HIP JOINT,X-Ray - Pelvis Ap/ Hip Joint,Imaging,02 PCC+
"GLUTAMIC PYRUVIC TRANSAMINASE (SGPT, ALT)~CHRB",SGPT/ALT,Laboratory,01 Clinic+
RHEUMATOID FACTOR IGM (QUANTITATIVE),Rheumatoid Factor Igm (Quantitative,Laboratory,01 Clinic+
TISSUE CK-20,Tissue Ck-20,Uncategorized,02 PCC+
CA 19 - 9 TISSUE IHC,Ca 19 - 9 Tissue Ihc,Uncategorized,02 PCC+
URINALYSIS WITH COMBILYZER,Urinalysis,Laboratory,01 Clinic+
ULTRASOUND-KIDNEYS AND URINARY BLADDER WITH PELVIS,Ultrasound - Kidneys And Urinary Bladder,Imaging,02 PCC+
XRAY-HIP JOINT AP FROG LEG BILATERAL,X-Ray - Hip Joint Ap Frog Leg Bilateral,Imaging,02 PCC+
THYROID-STIMULATING HORMONE (TSH) RECEPTOR ANTIBODY,Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
"CHEM 10 (FBS, CHOLE, TRIGLY, BUA, CREA, HDL, LDL, SGPT, SGOT AND BUN)",SGPT/ALT,Laboratory,01 Clinic+
ULTRASOUND-ANKLE,Ultrasound - Ankle,Imaging,02 PCC+
CHEM-PRE RENAL PANEL,Chem-Pre Renal Panel,Laboratory,01 Clinic+
CROSSMATCHING - GEL,Crossmatching - Gel,Uncategorized,02 PCC+
25-OH VITAMIN D W/ DILUTION,25-Oh Vitamin D Dilution,Uncategorized,02 PCC+
AFB STAINING,Afb Staining,Uncategorized,02 PCC+
DIFFUSING LUNG CAPACITY OF CARBON MONOXIDE W/ PF,Diffusing Lung Capacity Of Carbon Monoxide Pf,Uncategorized,02 PCC+
LUNG VOLUME STUDY W/PF,Lung Volume Study Pf,Uncategorized,02 PCC+
PROTIME/APTT,Protime/Aptt,Uncategorized,02 PCC+
HISTOPATH MEDIUM,Histopath Medium,Uncategorized,02 PCC+
SIMPLE IMRT,Simple Imrt,Uncategorized,02 PCC+
C3 (SEND OUT),C3,Uncategorized,02 PCC+
INDIRECT CALORIMETRY,Indirect Calorimetry,Uncategorized,02 PCC+
GLUCOSE CHALLENGE TEST OGCT 50GMS,Glucose Challenge Test Ogct 50Gms,Laboratory,01 Clinic+
"ULTRASOUND- ABDOMEN, WHOLE~UZGN","Ultrasound - Abdomen, Whole~Uzgn",Imaging,02 PCC+
XRAY-ABDOMEN UPRIGHT/SUPINE/LATERAL,X-Ray - Abdomen Upright/Supine/Lateral,Imaging,02 PCC+
LOWER EXTREMITY ARTERIAL DUPLEX SCAN + ANKLE BRACHIAL INDEX,Lower Extremity Arterial Duplex Scan + Ankle Brachial Index,Uncategorized,02 PCC+
XRAY - SACRO-COCCYGEAL APL,X-Ray - Sacro-Coccygeal Apl,Imaging,02 PCC+
HUMAN EPIDIDYMIS PROTEIN 4 (HE4) HI-PRE,Human Epididymis Protein 4 (He4) Hi-Pre,Laboratory,01 Clinic+
CD 34,Cd 34,Uncategorized,02 PCC+
LACRIMAL APPARATUS IRRIGATION,Lacrimal Apparatus Irrigation,Uncategorized,02 PCC+
XRAY-CALCANEUS BILATERAL,X-Ray - Calcaneus Bilateral,Imaging,02 PCC+
XRAY-KNEE APL SHYLINE W/ SU,X-Ray - Knee Apl Shyline,Imaging,02 PCC+
FLOURESCIEN ANGIOGRAPHY (FA),Flourescien Angiography (Fa,Uncategorized,02 PCC+
PROTEIN C CS,Protein C Cs,Laboratory,01 Clinic+
T-TUBE CHOLANGIOGRAPHY,T-Tube Cholangiography,Uncategorized,02 PCC+
EUSTACHIAN TUBE FUNCTION TEST,Eustachian Tube Function Test,Laboratory,01 Clinic+
CA 153 (SEND OUT),Ca 153,Uncategorized,02 PCC+
XRAY-CERVICAL SERIES,X-Ray - Cervical Series,Imaging,02 PCC+
ULTRASOUND- HBT AND PANCREAS,Ultrasound - Hbt And Pancreas,Imaging,02 PCC+
ELECTROMYOGRAPHY NERVE CONDUCTION VELOCITY EMG-NCV (3-4EXTREMITIES),Electromyography Nerve Conduction Velocity Emg-Ncv (3-4Extremities,Uncategorized,02 PCC+
MRICONTRAST-GADOVIST PFS 1.0 MMOL/ML 5ML,MRI - Contrast-Gadovist Pfs 1.0 Mmol/Ml 5Ml,Imaging,03 Hospital Only
XRAY-FINGER APL/O (UNILATERAL),X-Ray - Finger Apl/O (Unilateral),Imaging,02 PCC+
"HISTOPATH, NON-GYNE W/O CELL BLOCK, 4SLIDES","Histopath, Non-Gyne Cell Block, 4Slides",Uncategorized,02 PCC+
ULTRASOUND - BREAST (WOMENS),Ultrasound - Breast (Womens),Imaging,02 PCC+
SERUM GALACTOMANNAN (ASPERGILLUS STUDY),Serum Galactomannan (Aspergillus Study,Laboratory,01 Clinic+
DNS1 AG,Dns1 Ag,Laboratory,01 Clinic+
"CAPSULOTOMY/MEMBRANECTOMY, BOTH EYES (FACILITY FEE/NET OF PHIC/PF INCLUDED)","Capsulotomy/Membranectomy, Both Eyes (Facility Fee/Net Of Phic/Pf Included",Ophthalmology,02 PCC+
BONE DENSITOMETRY - STANDARD BMD (HMO),Bone Densitometry - Standard Bmd (Hmo,Uncategorized,02 PCC+
H. PYLORI STOOL ANTIGEN SEND OUT),H. Pylori Stool Antigen,Laboratory,01 Clinic+
XRAY-LUMBAR SPINE AP 11X14,X-Ray - Lumbar Spine Ap 11X14,Imaging,02 PCC+
XRAY-BONE SCAN,X-Ray - Bone Scan,Imaging,02 PCC+
XRAY-SHOULDER AP & SCAPULARY,X-Ray - Shoulder Ap & Scapulary,Imaging,02 PCC+
XRAY-BARIUM ENEMA,X-Ray - Barium Enema,Imaging,02 PCC+
1 HOUR EEG RECORDING,1 Hour Eeg Recording,Uncategorized,02 PCC+
CENTRAL DXA W/ FOREARM & VFA,Central Dxa Forearm & Vfa,Uncategorized,02 PCC+
XRAY - CLAVICLE AP 11X14,X-Ray - Clavicle Ap 11X14,Imaging,02 PCC+
DENGUE DOT,Dengue Test,Laboratory,01 Clinic+
APPLANATION TONOMETRY,Applanation Tonometry,Uncategorized,02 PCC+
17 HYDROXY PROGESTERONE,17 Hydroxy Progesterone,Uncategorized,02 PCC+
24-HOUR HOLTER MONITORING + PF,24-Hour Holter Monitoring + Pf,Cardiology,02 PCC+
ACCENTURE-XRAY-ANKLE APL 11X14,X-Ray - Ankle Apl 11X14,Imaging,02 PCC+
DISC/FUNDUS PHOTO ONE EYE,Disc/Fundus Photo One Eye,Ophthalmology,02 PCC+
EMG-NCV BOTH UPPER AND LOWER EXTREMITIES,Emg-Ncv Both Upper And Lower Extremities,Uncategorized,02 PCC+
TISSUE CARCINOEMBRYONIC ANTIGEN (TISSUE CEA),Tissue Carcinoembryonic Antigen (Tissue Cea,Laboratory,01 Clinic+
TISSUE CLUSTER OF DIFFERENTIATION (CD 3),Tissue Cluster Of Differentiation (Cd 3,Uncategorized,02 PCC+
"UPPER ABDOMEN (LIVER,GB,PANCREASE,SPLEEN,KIDNEYS)","Upper Abdomen (Liver,Gb,Pancrease,Spleen,Kidneys",Uncategorized,02 PCC+
UREA BREATH TEST,Urea Breath Test,Laboratory,01 Clinic+
PELVIC FLOOR ULTRASOUND,Ultrasound,Imaging,02 PCC+
CEA (COLORECTAL CA) (DILUTION)~ISRE,Cea (Colorectal Ca) (Dilution,Uncategorized,02 PCC+
FA-FLUORESCEIN ANGIOGRAPHY/SS,Fa-Fluorescein Angiography/Ss,Uncategorized,02 PCC+
CALCITONIN,Calcitonin,Uncategorized,02 PCC+
CT PARANASAL BONES PLAIN,Ct Paranasal Bones Plain,Uncategorized,02 PCC+
CT SCAN - PARANASAL SINUS WITH CONTRAST,CT Scan - Paranasal Sinus,Imaging,03 Hospital Only
XRAY-EXTREMITIES WRIST,X-Ray - Extremities Wrist,Imaging,02 PCC+
PUPILLOMETRY,Pupillometry,Uncategorized,02 PCC+
SODIUM (NA)~CHRB,Sodium (Na),Laboratory,01 Clinic+
XRAY CHEST PAL (ADULT),X-Ray - Chest Pal (Adult),Imaging,02 PCC+
"CHEM 8 (FBS, BUA, BUN, CREATININE, LIPID PROFILE)~CHRB",Lipid Profile,Laboratory,01 Clinic+
ANTI NDNA,Anti Ndna,Uncategorized,02 PCC+
INTENSITY-MODULATED RADIATION THERAPY (IMRT),Intensity-Modulated Radiation Therapy (Imrt,Uncategorized,02 PCC+
IMMERSION A SCAN (BILATERAL),Immersion A Scan (Bilateral,Uncategorized,02 PCC+
OPTICAL COHERENCE TOMOGRAPHY (OCT) GLAUCOMA ONH\RNFL BOTH EYE,Optical Coherence Tomography (Oct) Glaucoma Onh\Rnfl Both Eye,Ophthalmology,02 PCC+
NONSTRUCTURAL PROTEIN 1 ANTIGEN (NS1 AG),Nonstructural Protein 1 Antigen (Ns1 Ag,Laboratory,01 Clinic+
CT SCAN-HEAD CRANIAL PLAIN W/BONE WINDOW,CT Scan - Head Cranial Plain,Imaging,03 Hospital Only
XRAY-KNEE AP/LATERAL (SUNRISE VIEW),X-Ray - Knee Ap/Lateral (Sunrise View),Imaging,02 PCC+
OPD RENAL DMSA,Opd Renal Dmsa,Uncategorized,02 PCC+
MRV HEAD~MRCT [14X17 (9)],Mrv Head,Uncategorized,02 PCC+
SPIROMETRY WITH BRONCHODILATOR,Spirometry Bronchodilator,Uncategorized,02 PCC+
"CHEM 9 (FBS, CHOLESTEROL, TRIGLYCERIDES, URIC ACID, CREATININE, HDL, LDL, SGPT/ALT, SGOT/AST)",SGPT/ALT,Laboratory,01 Clinic+
CTSCAN-ANKLE JOINT/EXTREMITIES (PLAIN),Ctscan-Ankle Joint/Extremities (Plain,Uncategorized,02 PCC+
PLAIN CRANIAL CT-SCAN,Plain Cranial Ct-Scan,Uncategorized,02 PCC+
TREADMILL STRESS-ECHO KATTUS,Treadmill Exercise Test,Cardiology,02 PCC+
URINE GRAM STAIN/CULTURE AND SENSITIVITY,Urine Gram Stain/Culture And Sensitivity,Laboratory,01 Clinic+
"PURETONE AUDIOMETRY, SPEECH TEST, TYMPHANOMETRY","Puretone Audiometry, Speech Test, Tymphanometry",Laboratory,01 Clinic+
XRAY-KNEE JOINT AP/L,X-Ray - Knee Joint Ap/L,Imaging,02 PCC+
"CREATININE TOTAL,CKMM,CKMB",Creatinine,Laboratory,01 Clinic+
H-PYLORI (HELIPROBE),H-Pylori (Heliprobe,Uncategorized,02 PCC+
XRAY-CLAVICLE BILATERAL,X-Ray - Clavicle Bilateral,Imaging,02 PCC+
HOLTER MONITORING PEDIA,Holter Monitoring Pedia,Cardiology,02 PCC+
ULTRASOUND-TRANSRECTAL OF UTERUS,Ultrasound - Transrectal Of Uterus,Imaging,02 PCC+
S100 (SEND OUT),S100,Uncategorized,02 PCC+
INSULIN (NON FASTING),Insulin (Non Fasting,Laboratory,01 Clinic+
OCT OF MACULA/OPTIC NERVE ONE EYE,Oct Of Macula/Optic Nerve One Eye,Ophthalmology,02 PCC+
GAMMA GLUTAMYL TRANSPEPTIDASE (GGTP),Gamma Glutamyl Transpeptidase (Ggtp,Uncategorized,02 PCC+
PNEUMOCYSTIS CARINII (P. JIROVECIIO RT - PCR),Pneumocystis Carinii (P. Jiroveciio Rt - Pcr,Uncategorized,02 PCC+
BONE MINERAL DENSITOMETRY - MULTI SCAN,Bone Mineral Densitometry - Multi Scan,Uncategorized,02 PCC+
"XRAY-WHOLE SPINE , STANDING AP/LAT (14X36)","X-Ray - Whole Spine , Standing Ap/Lat (14X36)",Imaging,02 PCC+
CAROTID,Carotid,Uncategorized,02 PCC+
MUMPS IGM,Mumps Igm,Laboratory,01 Clinic+
XRAY-CHEST PORTABLE,X-Ray - Chest Portable,Imaging,02 PCC+
BONE MINERAL DENSITY (BMD) TEST/STUDY,Bone Mineral Density (Bmd) Test/Study,Laboratory,01 Clinic+
ANA IMMUNOFLUORESCENCE WITH DILATION,Ana Immunofluorescence Dilation,Uncategorized,02 PCC+
B1B2 (DIRECT - INDIRECT BILIRUBIN),Bilirubin,Uncategorized,02 PCC+
C-REACTIVE PROTEIN (CRP/QUANTITATIVE),C-Reactive Protein (Crp/Quantitative,Laboratory,01 Clinic+
(BAER) BRAINSTEM AUDITORY EVOKED RESPONSE,Baer) Brainstem Auditory Evoked Response,Uncategorized,02 PCC+
ARTERIAL DUPLEX SCAN OF UPPER EXTREMITY,Arterial Duplex Scan Of Upper Extremity,Uncategorized,02 PCC+
CBC WITH RBC INDICES,Complete Blood Count (CBC),Laboratory,01 Clinic+
"CHEM 7 (FBS, BUN, CREA, URIC, LIPID PROFILE)",Lipid Profile,Laboratory,01 Clinic+
COLOR DOPPLER STUDY 2D ECHO,2D Echo,Cardiology,02 PCC+
CORNEAL ANALYSIS (TOPOGRAPHY) BOTH EYES,Corneal Analysis (Topography) Both Eyes,Ophthalmology,02 PCC+
CT SCAN - LUMBAR SPINE,CT Scan - Lumbar Spine,Imaging,03 Hospital Only
DEXA SCAN BONE DENSITY LUMBAR SPINE,Dexa Scan Bone Density Lumbar Spine,Uncategorized,02 PCC+
EEG-SLEEP AND AWAKE 2 HRS MAX,Eeg-Sleep And Awake 2 Hrs Max,Uncategorized,02 PCC+
ELECTROMYOGRAPHY NERVE CONDUCTION VELOCITY (EMG-NCV),Electromyography Nerve Conduction Velocity (Emg-Ncv,Uncategorized,02 PCC+
FNAB COLLECTION,Fnab Collection,Uncategorized,02 PCC+
FSH CHEMI,Fsh Chemi,Uncategorized,02 PCC+
MEIBOMIAN GLAND DYSFUNCTION TEST (DRY EYE),Meibomian Gland Dysfunction Test (Dry Eye,Ophthalmology,02 PCC+
ULTRASOUND-BREAST WITH AXILLA WTH COLOR FLOW,Ultrasound - Breast,Imaging,02 PCC+
VISUAL FIELD (WITH INTERPRETATION),Syphilis Test (VDRL/RPR),Uncategorized,02 PCC+
XRAY-FULL SPINE,X-Ray - Full Spine,Imaging,02 PCC+
SERUM CHLORIDE,Chloride (Cl),Laboratory,01 Clinic+
THYROID IMAGING TC-99M,Thyroid Imaging Tc-99M,Laboratory,01 Clinic+
LAB-HMT-PTT,Lab-Hmt-Ptt,Uncategorized,02 PCC+
SERUM KETONE,Serum Ketone,Laboratory,01 Clinic+
CT SCAN-HEAD W/ BONE WINDOW,CT Scan - Head,Imaging,03 Hospital Only
RITDF,Ritdf,Uncategorized,02 PCC+
MTB PCR GENE EXPERT,Mtb Pcr Gene Expert,Laboratory,01 Clinic+
CALCIUM SCORING,Calcium (Ca),Laboratory,01 Clinic+
TISSUE CK-7,Tissue Ck-7,Uncategorized,02 PCC+
BLOOD CHEM 12,Blood Chem 12,Laboratory,01 Clinic+
ANA TITER & PATTERN,Ana Titer & Pattern,Uncategorized,02 PCC+
BC HBA1C (HPLC),HbA1c,Laboratory,01 Clinic+
CORTISOL (ECLIA),Cortisol (Eclia,Uncategorized,02 PCC+
HUMPHREY VISUAL FIELD PERIMETRY,Humphrey Visual Field Perimetry,Uncategorized,02 PCC+
VENOUS DUPLEX SCAN-UPPER EXTREMITY,Venous Duplex Scan-Upper Extremity,Uncategorized,02 PCC+
XRAY- KNEE APL,X-Ray - Knee Apl,Imaging,02 PCC+
TRAB (TSH RECEPTOR ANTIBODIES),Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
"LAB - HC SMALL BIOPSY (ENDOSCOPY, CORE NEEDLE)","Lab - Hc Small Biopsy (Endoscopy, Core Needle",Uncategorized,03 Hospital Only
D-DIMER~ISRE,D-Dimer,Uncategorized,02 PCC+
CT SCAN OF WRIST (STAT),CT Scan - Of Wrist (Stat),Imaging,03 Hospital Only
THYROID UPTAKE,Thyroid Uptake,Laboratory,01 Clinic+
D-DIMER (MINI-VIDAS),D-Dimer (Mini-Vidas,Uncategorized,02 PCC+
OCULAR ULTRASOUND PER EYE,Ultrasound - Per Eye,Imaging,02 PCC+
MRI ANKLE JOINT~MRPN-FILM [14X17 (4)],MRI - Ankle Joint~Mrpn-Film [14X17 (4)],Imaging,03 Hospital Only
VENOUS DOPPLER OF LOWER EXTREMITIES BILATERAL,Venous Doppler Of Lower Extremities Bilateral,Uncategorized,02 PCC+
FNAB FULL,Fnab Full,Uncategorized,02 PCC+
CONGENITAL ANOMALY SCAN W/ CERVICAL LENGTH/FUNELLING,Congenital Anomaly Scan Cervical Length/Funelling,Uncategorized,02 PCC+
ULTRASOUND - MUSCULOSKELETAL SHOULDER BILATERAL,Ultrasound - Musculoskeletal Shoulder Bilateral,Imaging,02 PCC+
PTPA (TISSUE PLASMINOGEN ACTIVATOR),Ptpa (Tissue Plasminogen Activator,Uncategorized,02 PCC+
SONOMAMMOGRAM BILATERAL,Sonomammogram Bilateral,Imaging,02 PCC+
TISSUE CALDESMON,Tissue Caldesmon,Uncategorized,02 PCC+
XRAY - PELVIS AP - PORTABLE,X-Ray - Pelvis Ap - Portable,Imaging,02 PCC+
ULTRASOUND-BREAST (PORTABLE),Ultrasound - Breast (Portable),Imaging,02 PCC+
"DIABETIC PANEL B (BUN, CHOLESTEROL, CBC, CREA, FBS, HBA1C, LIPOPROTEIN, MICRAL TEST, UA, SGPT, TRIG, URIC ACID)",HbA1c,Laboratory,01 Clinic+
HBA1C (GLYCOSYLATED HEMOGLOBIN) DCA,HbA1c,Laboratory,01 Clinic+
LAB-CC-LIPID PROFILE (VITROS),Lipid Profile,Laboratory,01 Clinic+
LEPTOSPIROSIS IGG RAPID TEST,Leptospirosis Igg Rapid Test,Laboratory,01 Clinic+
ULTRASOUND - LEG-MUSCULOSKELETAL (MSK),Ultrasound - Leg-Musculoskeletal (Msk),Imaging,02 PCC+
CA 15-3 (BREAST CA) W/ DILUTION,Ca 15-3 (Breast Ca) Dilution,Laboratory,01 Clinic+
ACCENTURE-ULTRASOUND-BREAST BILATERAL,Ultrasound - Breast Bilateral,Imaging,02 PCC+
ACCENTURE-ULTRASOUND-KUB,Ultrasound - Kub,Imaging,02 PCC+
ACCENTURE-XRAY-THORACIC SPINE APL 11X14,X-Ray - Thoracic Spine Apl 11X14,Imaging,02 PCC+
LACRIMAL DUCT PROBING,Lacrimal Duct Probing,Uncategorized,02 PCC+
PHYSICAL THERAPY-USE OF CERVICAL TRACTION,Physical Therapy-Use Of Cervical Traction,Physical Therapy,02 PCC+
PROTEIN INDUCED BY VITAMIN K ABSENCE-II (PIVKA-II),Protein Induced By Vitamin K Absence-Ii (Pivka-Ii,Laboratory,01 Clinic+
SPEC M,Spec M,Uncategorized,02 PCC+
ULTRASOUND-GENERAL ULTRASOUND - SOFT TISSUE MASS WITH DOPPLER,Ultrasound - Soft Tissue Mass,Imaging,02 PCC+
ULTRASOUND-GENERAL ULTRASOUND - THYROID WITH DOPPLER,Ultrasound - Thyroid,Imaging,02 PCC+
XRAY - KNEE MERCHANTS VIEW (BILATERAL),X-Ray - Knee Merchants View (Bilateral),Imaging,02 PCC+
XRAY-ECG HOLTER+ELECTRODES,Electrocardiogram (ECG),Imaging,02 PCC+
TISSUE S-100,Tissue S-100,Uncategorized,02 PCC+
FT3 (ELISA),Free T3 (FT3),Uncategorized,02 PCC+
ANTI-BETA-2-GLYCOPROTEINS OR ANTI-B2GP1/ANTI-BETA-2-GLYCOPROTEIN ANTIBODIES,Anti-Beta-2-Glycoproteins Or Anti-B2Gp1/Anti-Beta-2-Glycoprotein Antibodies,Laboratory,01 Clinic+
FT3 FT4,Free T3 (FT3),Laboratory,01 Clinic+
MICRAL TEST (MICROALBUMIN) - RANDOM URINE,Micral Test (Microalbumin) - Random Urine,Laboratory,01 Clinic+
XRAY-CHEST AP/L,X-Ray - Chest Ap/L,Imaging,02 PCC+
DIGITAL BILATERAL MAMMOGRAM (GUIDED PROCEDURES),Digital Bilateral Mammogram (Guided Procedures,Imaging,02 PCC+
CULTURE AND SENSITIVITY - SPUTUM W/ GRAMS STAIN,Culture And Sensitivity - Sputum Grams Stain,Laboratory,01 Clinic+
ULTRASOUND-LOWER ABDOMEN PRE & POST,Ultrasound - Lower Abdomen Pre & Post,Imaging,02 PCC+
XRAY-BABYGRAM,X-Ray - Babygram,Imaging,02 PCC+
ULTRASOUND - SOFT TISSUE MANDIBULAR,Ultrasound - Soft Tissue Mandibular,Imaging,02 PCC+
TROPONIN - I QUANTITATIVE (MNMCH),Troponin,Uncategorized,02 PCC+
XRAY-MANDIBLE AP-O,X-Ray - Mandible Ap-O,Imaging,02 PCC+
CT SCAN-HEAD (PLAIN STUDIES) - STAT PF,CT Scan - Head (Plain Studies) - Stat Pf,Imaging,03 Hospital Only
