cpt_cleaned,cpt_cleaned_standard,test_type,test_classification
CT SCAN - HEAD/BRAIN/CRANIAL (WITH CONTRAST),CT Scan - Head/Brain/Cranial (,Imaging,03 Hospital Only
INTACT PARATHYROID HORMONE (CHEM),Intact Parathyroid Hormone (Chem,Laboratory,01 Clinic+
CT SCAN-PET-ISO 18FDG,CT Scan - Pet-Iso 18Fdg,Imaging,03 Hospital Only
ANTI-DOUBLE STRANDED DNA (ANTI-DSDNA),Anti-Double Stranded Dna (Anti-Dsdna,Uncategorized,02 PCC+
PRO-BNP (PRO-BRAIN NATRIURETIC PEPTIDE),Pro-Bnp (Pro-Brain Natriuretic Peptide,Uncategorized,02 PCC+
F-18 FDG WHOLE BODY PET/CT,F-18 Fdg Whole Body Pet/Ct,Uncategorized,02 PCC+
PET CT SCAN PLAIN AND WITH CONTRAST,CT Scan - Plain And,Imaging,03 Hospital Only
"PHACOEMULCIFICATION WITH PCIOL, ONE EYE (GROSS OF PHIC/PF INCLUDED)","Phacoemulcification Pciol, One Eye (Gross Of Phic/Pf Included",Ophthalmology,02 PCC+
XRAY-KNEE BILATERAL,X-Ray - Knee Bilateral,Imaging,02 PCC+
XRAY-FOOT AP OBLIQUE,X-Ray - Foot Ap Oblique,Imaging,02 PCC+
FREE TRIIODOTHYRONINE (FT3) ECLIA,Free T3 (FT3),Uncategorized,02 PCC+
THERAPEUTIC EXERCISE,Therapeutic Exercise,Uncategorized,02 PCC+
(ANTI-TPO) ANTI THYROXINE PEROXIDASE,Anti-Tpo) Anti Thyroxine Peroxidase,Uncategorized,02 PCC+
XRAY-THORACO LUMBAR SPINE,X-Ray - Thoraco Lumbar Spine,Imaging,02 PCC+
XRAY-LUMBOSACRAL APL 11X14,X-Ray - Lumbosacral Apl 11X14,Imaging,02 PCC+
CT SCAN-CHEST,CT Scan - Chest,Imaging,03 Hospital Only
XRAY-CHEST APL 11X14,X-Ray - Chest Apl 11X14,Imaging,02 PCC+
CT SCAN - PARANASAL SINUSES,CT Scan - Paranasal Sinuses,Imaging,03 Hospital Only
CHEST X-RAY - APICO-LORDOTIC VIEW,Chest X-Ray,Imaging,02 PCC+
ACCENTURE-ULTRASOUND-KUB W/ PROSTATE,Ultrasound - Kub,Imaging,02 PCC+
ARTERIAL LOWER EXTREMITIES,Arterial Lower Extremities,Uncategorized,02 PCC+
OPTICAL COHERENCE TOMOGRAPHY (OCT) - BOTH EYES,Optical Coherence Tomography (Oct) - Both Eyes,Ophthalmology,02 PCC+
TRANSFERRIN,Transferrin,Uncategorized,02 PCC+
MRI-KNEE,MRI - Knee,Imaging,03 Hospital Only
